fecha_hora,real,modelo,prediccion,escenario
2025-03-27 06:00:00,8723073.81,Prophet,8454376.737442017,historical
2025-03-27 07:00:00,9153576.6,Prophet,8865248.46541167,historical
2025-03-27 08:00:00,9573680.67,Prophet,9287257.477450397,historical
2025-03-27 09:00:00,9869468.61,Prophet,9640676.707213588,historical
2025-03-27 10:00:00,10230105.31,Prophet,9905359.884788215,historical
2025-03-27 11:00:00,10521280.4,Prophet,10099645.36007255,historical
2025-03-27 12:00:00,10519331.05,Prophet,10229745.035219854,historical
2025-03-27 13:00:00,10642391.28,Prophet,10273275.709131539,historical
2025-03-27 14:00:00,10915726.11,Prophet,10219395.338147698,historical
2025-03-27 15:00:00,10971670.69,Prophet,10118839.763953049,historical
2025-03-27 16:00:00,10749580.53,Prophet,10075730.037840156,historical
2025-03-27 17:00:00,10492501.18,Prophet,10167576.718613528,historical
2025-03-27 18:00:00,11011194.78,Prophet,10358939.653175969,historical
2025-03-27 19:00:00,11204988.6,Prophet,10495906.066497497,historical
2025-03-27 20:00:00,11043128.4,Prophet,10403825.127833359,historical
2025-03-27 21:00:00,10517686.08,Prophet,10016153.001263361,historical
2025-03-27 22:00:00,9833397.66,Prophet,9427888.726286955,historical
2025-03-27 23:00:00,9235402.95,Prophet,8828877.050001629,historical
2025-03-28 00:00:00,8785067.65,Prophet,8375238.044843541,historical
2025-03-28 01:00:00,8498824.43,Prophet,8106711.51687382,historical
2025-03-28 02:00:00,8256882.03,Prophet,7969672.593858253,historical
2025-03-28 03:00:00,8152328.04,Prophet,7907825.598728426,historical
2025-03-28 04:00:00,8320093.65,Prophet,7927562.2840913,historical
2025-03-28 05:00:00,8743536.8,Prophet,8080580.70575843,historical
2025-03-28 06:00:00,8866321.74,Prophet,8392173.01485707,historical
2025-03-28 07:00:00,9257309.73,Prophet,8813803.547620041,historical
2025-03-28 08:00:00,9644620.7,Prophet,9247384.391289247,historical
2025-03-28 09:00:00,9880400.11,Prophet,9612926.552092273,historical
2025-03-28 10:00:00,10101074.55,Prophet,9890000.782195687,historical
2025-03-28 11:00:00,10435158.86,Prophet,10096645.155603113,historical
2025-03-28 12:00:00,10422796.75,Prophet,10238758.067757757,historical
2025-03-28 13:00:00,10485944.07,Prophet,10293633.910142066,historical
2025-03-28 14:00:00,10674865.57,Prophet,10250103.86773198,historical
2025-03-28 15:00:00,10725828.05,Prophet,10158577.331597008,historical
2025-03-28 16:00:00,10571853.54,Prophet,10122853.994116815,historical
2025-03-28 17:00:00,10331474.26,Prophet,10220132.940931413,historical
2025-03-28 18:00:00,10741890.55,Prophet,10414677.184894146,historical
2025-03-28 19:00:00,10852362.09,Prophet,10552296.404727137,historical
2025-03-28 20:00:00,10670326.0,Prophet,10458085.992173772,historical
